username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
zaibatsu;2016-03-30 16:52;10;6;"Why Apple Won Its Six-Week-Long Skirmish With The FBI http://bit.ly/1PF6zOH # infosec # privacy # techpic.twitter.com/MCJc6bNNpS";;;# # #;"715325772676771840";https://twitter.com/zaibatsu/status/715325772676771840
WSJTech;2016-03-30 16:27;8;6;"Can Apple's new 9.7-inch iPad Pro replace your laptop? @ JoannaStern has the answer http://on.wsj.com/25xjzS1";;@;;"715319483481604097";https://twitter.com/WSJTech/status/715319483481604097
TechCrunch;2016-03-30 16:19;22;16;"Streaming movie service Tribeca Shortlist comes to Apple TV http://tcrn.ch/21Tmv6Z pic.twitter.com/zoTPHYa0K0";;;;"715317448115953664";https://twitter.com/TechCrunch/status/715317448115953664
iphonejanky;2016-03-30 16:10;0;0;"iPhone 4 - Apple - Das iPhone SE ist das erste 4-Zoll-Handy der Spitzenklasse - Süddeutsche… http://goo.gl/fb/Gqb5sU";;;;"715315375299248128";https://twitter.com/iphonejanky/status/715315375299248128
evanasmith;2016-03-30 16:10;16;14;". @ jmartnyt @ maggieNYT: @ google @ Walmart Apple among the corporations wary of participating in GOP convention http://www.nytimes.com/2016/03/31/us/politics/donald-trump-republican-national-convention.html?_r=0 …";;@ @ @ @;;"715315327014309889";https://twitter.com/evanasmith/status/715315327014309889
TheNextWeb;2016-03-30 16:07;28;21;"Apple launches Safari Technology Preview for Web developers on the cutting edge http://tnw.me/mRkqVOk pic.twitter.com/SgSCzxb5uc";;;;"715314577307803649";https://twitter.com/TheNextWeb/status/715314577307803649
kazzen;2016-03-30 16:04;5;7;"毎度おなじみ林さん。 ディスプレイも賢く進化。 Apple Pencilが磁石に付くの、面白いな。 → “本命サイズ”のiPadが厳しいプロの要求に応えるべく進化した：林信行が語る9.7型iPad Proの魅力 ｜ ITmedia http://www.itmedia.co.jp/pcuser/articles/1603/31/news059.html …";;;;"715313810836365312";https://twitter.com/kazzen/status/715313810836365312
mashable;2016-03-30 15:58;187;143;"Kanye West's "The Life of Pablo" coming to streaming services after all -- yes, even Apple: http://on.mash.to/1VUc3MS pic.twitter.com/VMZRQ98dlh";;;;"715312362379730944";https://twitter.com/mashable/status/715312362379730944
bbcbrasil;2016-03-30 15:58;19;20;"Como o FBI conseguiu desbloquear o iPhone de suspeito de ataque à revelia da Apple? http://bbc.in/1VT0F3Z pic.twitter.com/XG5eyKg6w7";;;;"715312168628011009";https://twitter.com/bbcbrasil/status/715312168628011009
william_now;2016-03-30 15:51;2;4;"Stand up and clap for Apple. Apple Tops (Short) List Of Tech Companies Where Women Report Equal Treatment http://buff.ly/1pLNbKV";;;;"715310399806181376";https://twitter.com/william_now/status/715310399806181376
Reuters;2016-03-30 15:38;115;102;"FBI's secret method of unlocking iPhone may never reach Apple http://reut.rs/22PWxae";;;;"715307201464778753";https://twitter.com/Reuters/status/715307201464778753
VentureBeat;2016-03-30 15:09;7;2;"Hands-on with Apple's Safari Technology Preview for OS X https://wp.me/p5hvhT-810M  by @ jordannovetpic.twitter.com/6npQrz3qFa";;@;;"715299837646921728";https://twitter.com/VentureBeat/status/715299837646921728
some_speer;2016-03-30 14:39;0;0;"Facebook Messenger soll Bezahlfunktion à la Apple Pay erhalten http://buff.ly/1qfjOAQ  via @ t3npic.twitter.com/RDPUBRreyG";;@;;"715292268224200705";https://twitter.com/some_speer/status/715292268224200705
Techmeme;2016-03-30 13:56;5;7;"The Internet Association, members of which include Apple, Google, and Facebook, endorses TPP http://thehill.com/policy/technology/274681-internet-trade-group-backs-tpp …http://www.techmeme.com/160330/p35#a160330p35 …";;;#a160330p35;"715281595523936257";https://twitter.com/Techmeme/status/715281595523936257
RBBTODAY;2016-03-30 16:49;8;3;"本日発売！帰ってきた4インチの「iPhone SE」をiPhone 5sと比較レビュー http://www.rbbtoday.com/article/2016/03/31/141087.html … # iPhoneSE # iPhone # Apple # iPhone5s # スマホ # ニュースpic.twitter.com/SkFP357xGp";;;# # # # # #;"715325006100598784";https://twitter.com/RBBTODAY/status/715325006100598784
EverNoticeThat;2016-03-30 16:40;1;1;"Steve Jobs' secret to commanding respect: How late Apple founder almost always got his way http://dailym.ai/1V1dJU5  via @ MailOnline";;@;;"715322735942049792";https://twitter.com/EverNoticeThat/status/715322735942049792
